"","Nazwisko","Wiek","Branza","Najwiekszy.progres.majatku","Lata.miedzy.ktorymi.najbardziej.zwiekszyl.a.majatek","Najwiekszy.regres.majatku","Lata.miedzy.ktorymi.najbardziej.zmniejszyl.a.majatek"
"2205","Patrizio Vinciarelli ",75,"Technology ",0,"1796",-0.2,"2021 - 2022"
"2206","Mingwang Wang ",54,"Manufacturing ",0,"1797",0,"2015 - 2016"
"2207","Wang Yanqing & family ",75,"Manufacturing ",0,"1798",-0.6,"2020 - 2021"
"2208","Lars Wingefors ",45,"Media & Entertainment ",0,"1799",-1.1,"2021 - 2022"
"2209","Wu Xiangdong ",53,"Food & Beverage ",0,"1803",0,"2015 - 2016"
"2210","Dasheng Yi ",61,"Diversified ",0,"1806",0,"2015 - 2016"
"2211","Yu Lili ",54,"Manufacturing ",0,"1807",0,"2015 - 2016"
"2212","Kaitian Zeng ",47,"Technology ",0,"1809",0,"2015 - 2016"
"2213","Zhang Jingzhang & family ",86,"Manufacturing ",0,"1810",-0.5,"2021 - 2022"
"2214","Zhang Yubai ",57,"Food & Beverage ",0,"1811",-0.1,"2021 - 2022"
"2215","Zhaojiang Zhu ",48,"Manufacturing ",0,"1816",-0.9,"2021 - 2022"
"2216","Hari Bhartia ",65,"Diversified ",0,"1824",0,"2015 - 2016"
"2217","Shyam Bhartia ",69,"Healthcare ",0,"1825",0,"2015 - 2016"
"2218","Chen Shibin ",55,"Manufacturing ",0,"1827",0,"2015 - 2016"
"2219","Chen Tianshi ",37,"Technology ",0,"1828",-1.2,"2021 - 2022"
"2220","Robert Clark ",63,"Construction & Engineering ",0,"1829",0,"2015 - 2016"
"2221","Philippe Ginestet & family ",68,"Fashion & Retail ",0,"1835",-0.5,"2021 - 2022"
"2222","Sebastian Glaser ",64,"Technology ",0,"1836",-0.8,"2021 - 2022"
"2223","Hu Kunhui ",31,"Healthcare ",0,"1846",0,"2015 - 2016"
"2224","Jared Isaacman ",39,"Technology ",0,"1848",-0.7,"2021 - 2022"
"2225","Anurang Jain ",60,"Manufacturing ",0,"1849",-0.0999999999999999,"2021 - 2022"
"2226","Sunjay Kapur ",50,"Automotive ",0,"1851",0,"2015 - 2016"
"2227","Robert Langer ",73,"Healthcare ",0,"1858",0,"2015 - 2016"
"2228","David Xueling Li ",49,"Technology ",0,"1860",-0.7,"2021 - 2022"
"2229","Li Guoqing ",52,"Manufacturing ",0,"1862",-0.6,"2021 - 2022"
"2230","Li Yongqing ",57,"Manufacturing ",0,"1866",-0.6,"2021 - 2022"
"2231","Liu Aisen & family ",49,"Construction & Engineering ",0,"1868",0,"2015 - 2016"
"2232","Lv Jianming ",57,"Healthcare ",0,"1874",-1.2,"2021 - 2022"
"2233","Tomas Olivo Lopez ",48,"Real Estate ",0,"1882",-0.2,"2020 - 2021"
"2234","Jorge Pinheiro Koren de Lima ",49,"Healthcare ",0,"1883",-0.2,"2021 - 2022"
"2235","Candido Pinheiro Koren de Lima Junior ",51,"Healthcare ",0,"1884",-0.2,"2021 - 2022"
"2236","Austin Russell ",27,"Automotive ",0,"1888",-0.8,"2021 - 2022"
"2237","George Sakellaris ",75,"Energy ",0,"1889",0,"2015 - 2016"
"2238","Paul Saville ",66,"Real Estate ",0,"1892",0,"2015 - 2016"
"2239","Michael Saylor ",57,"Technology ",0,"1894",-0.7,"2021 - 2022"
"2240","Sathien Setthasit ",67,"Food & Beverage ",0,"1896",-0.4,"2021 - 2022"
"2241","Niraj Shah ",48,"Technology ",0,"1897",-2,"2021 - 2022"
"2242","Keiichi Shibahara ",57,"Healthcare ",0,"1898",0,"2015 - 2016"
"2243","Ion Stoica ",57,"Technology ",0,"1902",0,"2015 - 2016"
"2244","Bambang Sutantio ",63,"Food & Beverage ",0,"1903",0,"2015 - 2016"
"2245","Lili Tan ",64,"Food & Beverage ",0,"1904",0,"2015 - 2016"
"2246","Tan Yu Yeh ",51,"Fashion & Retail ",0,"1905",-0.2,"2021 - 2022"
"2247","David Teoh ",66,"Telecom ",0,"1906",-0.5,"2016 - 2017"
"2248","Tung Ching Bor ",59,"Manufacturing ",0,"1912",0,"2015 - 2016"
"2249","Tung Ching Sai ",57,"Manufacturing ",0,"1913",-0.0999999999999999,"2021 - 2022"
"2250","Scott Watterson ",66,"Technology ",0,"1914",0,"2015 - 2016"
"2251","Tom Werner ",71,"Sports ",0,"1918",0,"2015 - 2016"
"2252","Kie Chie Wong ",74,"Metals & Mining ",0,"1919",0,"2015 - 2016"
"2253","Xu Guozhong & family ",58,"Manufacturing ",0,"1920",-0.2,"2021 - 2022"
"2254","Xu Yuejuan ",60,"Manufacturing ",0,"1921",-0.6,"2021 - 2022"
"2255","Yang Tingdong ",61,"Food & Beverage ",0,"1922",-0.2,"2021 - 2022"
"2256","Matei Zaharia ",36,"Technology ",0,"1924",0,"2015 - 2016"
"2257","Zhang Jian ",53,"Manufacturing ",0,"1925",0,"2015 - 2016"
"2258","Keqiang Zhang ",61,"Real Estate ",0,"1926",0,"2015 - 2016"
"2259","Hamdi Akin & family ",67,"Diversified ",0,"1930",0,"2015 - 2016"
"2260","Joachim Ante ",39,"Technology ",0,"1932",-0.3,"2021 - 2022"
"2261","Andres Bzurovski Bay ",44,"Finance & Investments ",0,"1943",0,"2015 - 2016"
"2262","Giuliana Caprotti ",81,"Food & Beverage ",0,"1945",-0.2,"2021 - 2022"
"2263","Marina Caprotti ",44,"Food & Beverage ",0,"1946",-0.2,"2021 - 2022"
"2264","Safra Catz ",60,"Technology ",0,"1948",0,"2015 - 2016"
"2265","Chen Baohua ",60,"Healthcare ",0,"1950",0,"2015 - 2016"
"2266","Xianbao Chen & family ",62,"Food & Beverage ",0,"1951",0,"2015 - 2016"
"2267","Steve Conine ",49,"Technology ",0,"1953",-2.1,"2021 - 2022"
"2268","Wenjun Dai ",53,"Food & Beverage ",0,"1955",0,"2015 - 2016"
"2269","Henrique Dubugras ",26,"Finance & Investments ",0,"1962",0,"2015 - 2016"
"2270","Ali Erdemoglu ",62,"Manufacturing ",0,"1967",-0.3,"2021 - 2022"
"2271","Daniel Feffer ",62,"Manufacturing ",0,"1971",-0.1,"2021 - 2022"
"2272","David Feffer ",65,"Manufacturing ",0,"1972",-0.2,"2021 - 2022"
"2273","Ruben Feffer ",52,"Manufacturing ",0,"1973",-0.1,"2021 - 2022"
"2274","Sergio Fogel ",58,"Finance & Investments ",0,"1975",0,"2015 - 2016"
"2275","Pedro Franceschi ",25,"Finance & Investments ",0,"1976",0,"2015 - 2016"
"2276","Yi Gao & family ",53,"Healthcare ",0,"1978",0,"2015 - 2016"
"2277","Esther Grether ",86,"Fashion & Retail ",0,"1982",-0.3,"2015 - 2016"
"2278","He Zhiping ",58,"Finance & Investments ",0,"1986",0,"2015 - 2016"
"2279","Matt Hulsizer ",64,"Finance & Investments ",0,"1992",0,"2015 - 2016"
"2280","Justin Ishbia ",44,"Finance & Investments ",0,"1993",-1.5,"2021 - 2022"
"2281","Peter Jackson ",60,"Media & Entertainment ",0,"1994",0,"2015 - 2016"
"2282","Jin Xin ",55,"Manufacturing ",0,"1996",0,"2015 - 2016"
"2283","Jenny Just ",54,"Finance & Investments ",0,"1998",0,"2015 - 2016"
"2284","Manuel Lao Hernández ",77,"Gambling & Casinos ",0,"2012",0,"2015 - 2016"
"2285","Manfredi Lefebvre d'Ovidio & family ",68,"Service ",0,"2014",0,"2015 - 2016"
"2286","Li Jinyang ",64,"Metals & Mining ",0,"2015",0,"2015 - 2016"
"2287","Li Ming ",64,"Finance & Investments ",0,"2016",0,"2015 - 2016"
"2288","Zhen Li & family ",58,"Manufacturing ",0,"2017",0,"2015 - 2016"
"2289","Rongfu Lu ",51,"Telecom ",0,"2018",0,"2015 - 2016"
"2290","Mao Lixiang & family ",81,"Technology ",0,"2021",-0.6,"2020 - 2021"
"2291","Meng Qingshan & family ",73,"Manufacturing ",0,"2023",0,"2015 - 2016"
"2292","Ezra Nahmad ",76,"Finance & Investments ",0,"2028",0,"2015 - 2016"
"2293","Tadako Nakatani ",64,"Healthcare ",0,"2029",0,"2015 - 2016"
"2294","Dragos Paval ",55,"Fashion & Retail ",0,"2033",0,"2015 - 2016"
"2295","Zach Perret ",34,"Finance & Investments ",0,"2034",0,"2015 - 2016"
"2296","Michael Polsky ",73,"Energy ",0,"2041",0,"2015 - 2016"
"2297","Qin Long ",56,"Manufacturing ",0,"2042",-0.3,"2021 - 2022"
"2298","G. M. Rao ",71,"Logistics ",0,"2043",0,"2015 - 2016"
"2299","Mike Repole ",54,"Food & Beverage ",0,"2044",0,"2015 - 2016"
"2300","Edwin Soeryadjaya ",72,"Energy ",0,"2053",0,"2015 - 2016"
"2301","Tang Binsen ",39,"Food & Beverage ",0,"2056",0,"2015 - 2016"
"2302","Junjin Wang ",53,"Service ",0,"2062",0,"2015 - 2016"
"2303","Wang Zelong ",25,"Metals & Mining ",0,"2063",0,"2015 - 2016"
"2304","Kaiting Wu ",52,"Telecom ",0,"2065",0,"2015 - 2016"
"2305","Xu Zhenhua ",64,"Media & Entertainment ",0,"2068",0,"2015 - 2016"
"2306","Xue Jiping ",71,"Telecom ",0,"2069",0,"2015 - 2016"
"2307","Justin Yuan ",64,"Media & Entertainment ",0,"2071",0,"2015 - 2016"
"2308","Xinghai Zhang & family ",59,"Manufacturing ",0,"2072",0,"2015 - 2016"
"2309","Xuansong Zhang ",50,"Fashion & Retail ",0,"2073",0,"2015 - 2016"
"2310","Chengjian Zhou ",56,"Fashion & Retail ",0,"2075",0,"2015 - 2016"
"2311","Tope Awotona ",40,"Technology ",0,"2080",0,"2015 - 2016"
"2312","Marina Budiman ",60,"Technology ",0,"2084",0,"2015 - 2016"
"2313","Stewart Butterfield ",49,"Technology ",0,"2085",-0.3,"2021 - 2022"
"2314","Richard Chang ",75,"Real Estate ",0,"2086",-0.3,"2021 - 2022"
"2315","Chen Wenyuan & family ",54,"Technology ",0,"2088",-0.3,"2021 - 2022"
"2316","Thierry Cruanes ",54,"Technology ",0,"2093",-0.5,"2021 - 2022"
"2317","Benoit Dageville ",55,"Technology ",0,"2094",-0.5,"2021 - 2022"
"2318","Ding Shui Po ",51,"Fashion & Retail ",0,"2099",0,"2015 - 2016"
"2319","Hongbo Fang ",55,"Manufacturing ",0,"2105",0,"2015 - 2016"
"2320","William Foley, II. ",77,"Finance & Investments ",0,"2106",-0.5,"2021 - 2022"
"2321","Jayme Garfinkel & family ",76,"Finance & Investments ",0,"2107",0,"2015 - 2016"
"2322","Daniel Hirschfeld ",80,"Fashion & Retail ",0,"2112",-0.3,"2015 - 2016"
"2323","William Hockey ",32,"Finance & Investments ",0,"2113",0,"2015 - 2016"
"2324","Huang Xiaofen & family ",60,"Technology ",0,"2115",-0.1,"2020 - 2021"
"2325","Yintai Jiang & family ",71,"Automotive ",0,"2117",0,"2015 - 2016"
"2326","Ramesh Juneja ",66,"Healthcare ",0,"2119",0,"2015 - 2016"
"2327","Scott Kapnick ",63,"Finance & Investments ",0,"2120",0,"2015 - 2016"
"2328","Christine Knauf ",64,"Manufacturing ",0,"2124",0,"2015 - 2016"
"2329","Karl Knauf ",64,"Manufacturing ",0,"2125",0,"2015 - 2016"
"2330","Yogesh Kothari ",73,"Manufacturing ",0,"2126",0,"2015 - 2016"
"2331","Gary Lauder ",59,"Fashion & Retail ",0,"2130",-0.1,"2021 - 2022"
"2332","Art Levinson ",72,"Diversified ",0,"2131",0,"2015 - 2016"
"2333","Guangwei Liang ",58,"Manufacturing ",0,"2133",0,"2015 - 2016"
"2334","Jenny Lindén Urnes ",51,"Manufacturing ",0,"2135",-0.2,"2021 - 2022"
"2335","Anatoly Lomakin ",69,"Metals & Mining ",0,"2136",0,"2015 - 2016"
"2336","Zhongwu Mao ",59,"Manufacturing ",0,"2139",0,"2015 - 2016"
"2337","Ilson Mateus & family ",59,"Fashion & Retail ",0,"2140",0,"2015 - 2016"
"2338","Jerry Moyes & family ",78,"Logistics ",0,"2142",0,"2015 - 2016"
"2339","Sara George Muthoot ",61,"Finance & Investments ",0,"2146",0,"2015 - 2016"
"2340","Matthew Roszak ",49,"Finance & Investments ",0,"2155",-0.1,"2021 - 2022"
"2341","Martin Selig ",84,"Real Estate ",0,"2158",-0.2,"2020 - 2021"
"2342","Shao Jianxiong ",64,"Energy ",0,"2160",0,"2015 - 2016"
"2343","Ben Silbermann ",39,"Media & Entertainment ",0,"2162",-2.5,"2021 - 2022"
"2344","Denis Sverdlov ",43,"Automotive ",0,"2165",0,"2015 - 2016"
"2345","Lina Tombolato ",74,"Finance & Investments ",0,"2167",0,"2015 - 2016"
"2346","Jens von Bahr ",51,"Gambling & Casinos ",0,"2172",0,"2015 - 2016"
"2347","Wang Jian ",68,"Technology ",0,"2174",-0.5,"2021 - 2022"
"2348","Werner O. Weber ",83,"Manufacturing ",0,"2175",0,"2015 - 2016"
"2349","Wei Lidong & family ",46,"Technology ",0,"2176",-0.4,"2021 - 2022"
"2350","Drorit Wertheim ",66,"Food & Beverage ",0,"2177",0,"2015 - 2016"
"2351","Bo Wu ",67,"Manufacturing ",0,"2178",0,"2015 - 2016"
"2352","Wu Xushun & family ",73,"Diversified ",0,"2180",-0.4,"2021 - 2022"
"2353","Wenbo Xiang ",59,"Manufacturing ",0,"2181",0,"2015 - 2016"
"2354","Swift Xie ",42,"Technology ",0,"2182",0,"2015 - 2016"
"2355","Xu Bingzhong ",48,"Food & Beverage ",0,"2183",0,"2015 - 2016"
"2356","Xu Shaochun ",59,"Technology ",0,"2184",-1.1,"2021 - 2022"
"2357","Yan Junxu ",52,"Manufacturing ",0,"2185",0,"2015 - 2016"
"2358","Zhuo Jun ",56,"Manufacturing ",0,"2188",-0.1,"2020 - 2021"
"2359","Fredrik Österberg ",51,"Gambling & Casinos ",0,"2189",0,"2015 - 2016"
"2360","Rutger Arnhult ",54,"Real Estate ",0,"2193",0,"2015 - 2016"
"2361","Barbara Benetton ",52,"Fashion & Retail ",0,"2198",-0.2,"2021 - 2022"
"2362","Othman Benjelloun & family ",89,"Finance & Investments ",0,"2199",0,"2015 - 2016"
"2363","Anthony Casalena ",39,"Technology ",0,"2204",0,"2015 - 2016"
"2364","Chang Jing ",39,"Technology ",0,"2205",-1.2,"2021 - 2022"
"2365","Chen Shiliang ",58,"Manufacturing ",0,"2207",-0.6,"2021 - 2022"
"2366","Yuantai Chen ",54,"Energy ",0,"2208",0,"2015 - 2016"
"2367","Chu Jian ",59,"Manufacturing ",0,"2210",0,"2015 - 2016"
"2368","Sasson Dayan & family ",82,"Finance & Investments ",0,"2214",0,"2015 - 2016"
"2369","Anand Deshpande ",59,"Technology ",0,"2215",0,"2015 - 2016"
"2370","Shlomo Eliahu ",86,"Finance & Investments ",0,"2217",0,"2015 - 2016"
"2371","Jose Roberto Ermirio de Moraes ",64,"Diversified ",0,"2218",0,"2015 - 2016"
"2372","Jose Ermirio de Moraes Neto ",69,"Diversified ",0,"2219",0,"2015 - 2016"
"2373","David Fattal & family ",64,"Service ",0,"2220",0,"2015 - 2016"
"2374","Marvy Finger ",86,"Real Estate ",0,"2221",0,"2015 - 2016"
"2375","Adam Foroughi ",41,"Media & Entertainment ",0,"2222",0,"2015 - 2016"
"2376","Luiz Frias ",58,"Technology ",0,"2224",0,"2015 - 2016"
"2377","Susumu Fujita ",48,"Media & Entertainment ",0,"2225",-0.3,"2021 - 2022"
"2378","Mikhail Gutseriev & brother ",64,"Energy ",0,"2228",0,"2015 - 2016"
"2379","Jaroslav Hascak & family ",52,"Finance & Investments ",0,"2231",0,"2015 - 2016"
"2380","He Zuxun ",56,"Food & Beverage ",0,"2232",0,"2015 - 2016"
"2381","David Hoffmann ",69,"Diversified ",0,"2233",0,"2015 - 2016"
"2382","Wei Huang ",62,"Real Estate ",0,"2236",0,"2015 - 2016"
"2383","Jiang Guiting & family ",63,"Manufacturing ",0,"2239",0,"2015 - 2016"
"2384","Rajeev Juneja ",56,"Healthcare ",0,"2240",0,"2015 - 2016"
"2385","Peter Kelly ",64,"Technology ",0,"2241",0,"2015 - 2016"
"2386","Koon Poh Ming ",65,"Metals & Mining ",0,"2243",0,"2015 - 2016"
"2387","Fengluan Li ",60,"Diversified ",0,"2250",0,"2015 - 2016"
"2388","Hua Li ",44,"Finance & Investments ",0,"2251",0,"2015 - 2016"
"2389","Li Ruiqiang ",42,"Healthcare ",0,"2252",0,"2015 - 2016"
"2390","Lin Zhijun ",46,"Healthcare ",0,"2253",-0.2,"2021 - 2022"
"2391","Lin Zhixiong & family ",48,"Healthcare ",0,"2254",-0.2,"2021 - 2022"
"2392","Xuejing Liu & family ",71,"Diversified ",0,"2256",0,"2015 - 2016"
"2393","Lu Yonghua & family ",58,"Technology ",0,"2257",0,"2015 - 2016"
"2394","Zhaoxi Lu ",53,"Technology ",0,"2258",0,"2015 - 2016"
"2395","Neide Helena de Moraes ",67,"Diversified ",0,"2262",0,"2015 - 2016"
"2396","Randal Nardone ",66,"Finance & Investments ",0,"2265",0,"2015 - 2016"
"2397","Vadim Novinsky ",58,"Metals & Mining ",0,"2267",-0.0999999999999999,"2021 - 2022"
"2398","Satyanarayan Nuwal ",69,"Manufacturing ",0,"2268",0,"2015 - 2016"
"2399","John Ocampo ",63,"Technology ",0,"2269",-0.0999999999999999,"2021 - 2022"
"2400","Pan Gang ",51,"Food & Beverage ",0,"2270",-0.3,"2021 - 2022"
"2401","Riju Raveendran ",39,"Technology ",0,"2272",0,"2015 - 2016"
"2402","P.P. Reddy ",64,"Construction & Engineering ",0,"2273",-0.3,"2021 - 2022"
"2403","P.V.Krishna Reddy ",52,"Construction & Engineering ",0,"2274",-0.2,"2021 - 2022"
"2404","Satish Reddy ",54,"Healthcare ",0,"2275",-0.2,"2021 - 2022"
"2405","Lily Safra ",84,"Finance & Investments ",0,"2276",0,"2015 - 2016"
"2406","Richard Saghian ",40,"Fashion & Retail ",0,"2277",0,"2015 - 2016"
"2407","Paul Sciarra ",41,"Media & Entertainment ",0,"2282",-1.6,"2021 - 2022"
"2408","Alexander Sixt ",42,"Automotive ",0,"2286",0,"2015 - 2016"
"2409","Konstantin Sixt ",39,"Automotive ",0,"2287",0,"2015 - 2016"
"2410","Carmen Thyssen ",78,"Manufacturing ",0,"2296",0,"2015 - 2016"
"2411","August Troendle ",66,"Healthcare ",0,"2297",-0.2,"2021 - 2022"
"2412","Han Wang ",34,"Diversified ",0,"2302",0,"2015 - 2016"
"2413","Wang Qinghua ",56,"Manufacturing ",0,"2304",-0.3,"2021 - 2022"
"2414","Pengcheng Wen & family ",59,"Food & Beverage ",0,"2305",0,"2015 - 2016"
"2415","Alfred West, Jr. ",79,"Finance & Investments ",0,"2306",-0.0999999999999999,"2021 - 2022"
"2416","Gang Xu ",58,"Manufacturing ",0,"2309",0,"2015 - 2016"
"2417","Tony Xu ",37,"Technology ",0,"2311",-1.5,"2021 - 2022"
"2418","Ye Yanqiao ",52,"Food & Beverage ",0,"2312",-0.4,"2021 - 2022"
"2419","Patrick Zalupski ",41,"Real Estate ",0,"2313",0,"2015 - 2016"
"2420","Shengda Zan ",59,"Diversified ",0,"2314",0,"2015 - 2016"
"2421","Zeng Chaoyi ",53,"Manufacturing ",0,"2315",-0.4,"2021 - 2022"
"2422","Peng Zhao ",51,"Service ",0,"2317",0,"2015 - 2016"
"2423","Zheng Zhiguo ",50,"Healthcare ",0,"2318",0,"2015 - 2016"
"2424","Zhou Mingjie ",64,"Technology ",0,"2320",0,"2015 - 2016"
"2425","Zhu Yiwen & family ",64,"Healthcare ",0,"2322",-0.6,"2021 - 2022"
"2426","Zong Yanmin ",64,"Manufacturing ",0,"2323",0,"2015 - 2016"
"2427","Sanjay Agarwal ",51,"Finance & Investments ",0,"2324",-0.1,"2021 - 2022"
"2428","Hamad bin Jassim bin Jaber Al Thani ",62,"Finance & Investments ",0,"2325",-0.1,"2017 - 2018"
"2429","Betty Ang ",67,"Food & Beverage ",0,"2326",0,"2015 - 2016"
"2430","Christian Angermayer ",43,"Finance & Investments ",0,"2327",0,"2015 - 2016"
"2431","Emilio Azcarraga Jean ",54,"Media & Entertainment ",0,"2330",-1,"2015 - 2016"
"2432","Stephane Bonvin ",55,"Real Estate ",0,"2333",0,"2015 - 2016"
"2433","Ashok Boob ",70,"Manufacturing ",0,"2334",0,"2015 - 2016"
"2434","Pradip Burman ",79,"Food & Beverage ",0,"2337",-0.1,"2021 - 2022"
"2435","Chang Kuo-Cheng ",64,"Logistics ",0,"2339",0,"2015 - 2016"
"2436","Jiancheng Chen ",63,"Manufacturing ",0,"2340",0,"2015 - 2016"
"2437","Chen Xueling ",54,"Manufacturing ",0,"2341",-0.5,"2021 - 2022"
"2438","Cheng Lili ",57,"Food & Beverage ",0,"2342",-0.1,"2021 - 2022"
"2439","Tim Draper ",63,"Finance & Investments ",0,"2345",-0.3,"2021 - 2022"
"2440","Fan Zhaoxia & family ",54,"Energy ",0,"2346",0,"2015 - 2016"
"2441","Gleb Fetisov ",55,"Telecom ",0,"2347",0,"2015 - 2016"
"2442","Geng Diangen ",65,"Technology ",0,"2352",-0.3,"2021 - 2022"
"2443","Dan Gertler ",48,"Metals & Mining ",0,"2353",-0.4,"2015 - 2016"
"2444","David Girouard ",56,"Finance & Investments ",0,"2354",0,"2015 - 2016"
"2445","John Goff ",67,"Real Estate ",0,"2355",-0.1,"2021 - 2022"
"2446","Lawrence Golub ",62,"Finance & Investments ",0,"2356",0,"2015 - 2016"
"2447","Sven Hagströmer ",78,"Finance & Investments ",0,"2357",0,"2015 - 2016"
"2448","He Yamin & family ",65,"Manufacturing ",0,"2360",-0.2,"2021 - 2022"
"2449","Michael Heine ",72,"Finance & Investments ",0,"2361",-0.1,"2021 - 2022"
"2450","Heikki Herlin ",35,"Manufacturing ",0,"2362",-0.4,"2021 - 2022"
"2451","Hong Feng ",45,"Technology ",0,"2363",-0.9,"2021 - 2022"
"2452","Hu Kun ",52,"Healthcare ",0,"2364",-1.3,"2021 - 2022"
"2453","Shanbing Huang & family ",65,"Technology ",0,"2366",0,"2015 - 2016"
"2454","Huang Wenbiao ",54,"Food & Beverage ",0,"2368",-0.3,"2021 - 2022"
"2455","Rameshchandra Jain ",73,"Manufacturing ",0,"2371",0,"2015 - 2016"
"2456","Laurent Junique ",56,"Technology ",0,"2372",0,"2015 - 2016"
"2457","Zbigniew Juroszek & family ",59,"Diversified ",0,"2373",-0.1,"2021 - 2022"
"2458","Chatchai Kaewbootta ",70,"Finance & Investments ",0,"2374",-0.5,"2021 - 2022"
"2459","Shirley Kao ",65,"Food & Beverage ",0,"2375",0,"2015 - 2016"
"2460","Ipek Kirac ",37,"Diversified ",0,"2376",-0.7,"2021 - 2022"
"2461","Carsten Koerl ",57,"Sports ",0,"2377",0,"2015 - 2016"
"2462","John Krystynak ",53,"Media & Entertainment ",0,"2379",0,"2015 - 2016"
"2463","John Kusuma ",55,"Finance & Investments ",0,"2380",0,"2015 - 2016"
"2464","Hartono Kweefanus ",72,"Food & Beverage ",0,"2381",0,"2015 - 2016"
"2465","Kwek Leng Peck ",66,"Diversified ",0,"2382",-0.1,"2020 - 2021"
"2466","Kristo Käärmann ",41,"Finance & Investments ",0,"2383",0,"2015 - 2016"
"2467","Guy Laliberté ",62,"Media & Entertainment ",0,"2384",0,"2015 - 2016"
"2468","Lee Sang-ryul ",60,"Manufacturing ",0,"2385",0,"2015 - 2016"
"2469","Lee Seung-gun ",40,"Technology ",0,"2386",0,"2015 - 2016"
"2470","Hongjing Li ",54,"Automotive ",0,"2387",0,"2015 - 2016"
"2471","Li Wanqiang ",44,"Technology ",0,"2388",-0.9,"2021 - 2022"
"2472","Dalong Lv ",60,"Telecom ",0,"2390",0,"2015 - 2016"
"2473","Todd McKinnon ",50,"Technology ",0,"2392",-0.5,"2021 - 2022"
"2474","Rubens Menin Teixeira de Souza ",66,"Diversified ",0,"2393",-1,"2021 - 2022"
"2475","Lorinc Meszaros ",56,"Diversified ",0,"2394",-0.3,"2021 - 2022"
"2476","Ulrich Mommert & family ",81,"Automotive ",0,"2395",0,"2015 - 2016"
"2477","Park Kwan-ho ",50,"Media & Entertainment ",0,"2396",0,"2015 - 2016"
"2478","Stefan Pierer ",65,"Automotive ",0,"2399",-0.1,"2021 - 2022"
"2479","Leonid Radvinsky ",40,"Technology ",0,"2402",0,"2015 - 2016"
"2480","Megdet Rahimkulov & family ",76,"Finance & Investments ",0,"2403",-0.5,"2021 - 2022"
"2481","Andrei Rappoport ",58,"Finance & Investments ",0,"2404",0,"2015 - 2016"
"2482","Dasari Uday Kumar Reddy ",54,"Technology ",0,"2405",0,"2015 - 2016"
"2483","Duke Reyes ",65,"Food & Beverage ",0,"2407",-0.3,"2020 - 2021"
"2484","Devi Shetty ",69,"Healthcare ",0,"2413",0,"2015 - 2016"
"2485","Petter Stordalen & family ",59,"Service ",0,"2416",-0.1,"2021 - 2022"
"2486","Sun Huaiqing & family ",52,"Fashion & Retail ",0,"2418",-1.1,"2021 - 2022"
"2487","Luc Tack ",60,"Manufacturing ",0,"2419",-0.3,"2021 - 2022"
"2488","Stanley Tang ",29,"Technology ",0,"2422",-0.8,"2021 - 2022"
"2489","Sam Tarascio ",77,"Real Estate ",0,"2423",0,"2015 - 2016"
"2490","Stefania Triva ",57,"Healthcare ",0,"2427",0,"2015 - 2016"
"2491","Maria Grace Uy ",53,"Telecom ",0,"2428",0,"2015 - 2016"
"2492","Jianfeng Wang & family ",52,"Automotive ",0,"2431",0,"2015 - 2016"
"2493","Wang Zhentao & family ",56,"Healthcare ",0,"2435",-0.3,"2021 - 2022"
"2494","Weng Xianding ",60,"Healthcare ",0,"2437",-0.9,"2021 - 2022"
"2495","Wu Li-gann ",81,"Manufacturing ",0,"2440",0,"2015 - 2016"
"2496","Wu Peifu & family ",60,"Manufacturing ",0,"2441",0,"2015 - 2016"
"2497","Yeh Kuo-I ",80,"Manufacturing ",0,"2443",-0.1,"2021 - 2022"
"2498","Faxiang Yu ",50,"Media & Entertainment ",0,"2444",0,"2015 - 2016"
"2499","Zeng Chaolin ",39,"Metals & Mining ",0,"2445",-0.3,"2021 - 2022"
"2500","Zhang Tianyu ",54,"Telecom ",0,"2446",0,"2015 - 2016"
"2501","Shusheng Zheng ",56,"Telecom ",0,"2447",-0.2,"2021 - 2022"
"2502","Ryuji Arai ",75,"Fashion & Retail ",0,"2450",-0.2,"2021 - 2022"
"2503","Lloyd Blankfein ",67,"Finance & Investments ",0,"2452",0,"2015 - 2016"
"2504","Caspar Callerström ",48,"Finance & Investments ",0,"2454",0,"2015 - 2016"
"2505","Kejian Cao ",59,"Manufacturing ",0,"2455",0,"2015 - 2016"
"2506","Dai Lizhong ",53,"Healthcare ",0,"2457",-1.3,"2021 - 2022"
"2507","Wolfgang Egger ",56,"Real Estate ",0,"2460",-0.0999999999999999,"2021 - 2022"
"2508","Richard Fairbank ",71,"Finance & Investments ",0,"2462",0,"2015 - 2016"
"2509","Andy Fang ",29,"Technology ",0,"2463",-0.9,"2021 - 2022"
